name,category,specs,price,unit,recipe,,
牛油火神果茶昔,果茶昔,芝士版,21,杯,牛油果:0.5;热水:160;冰块:80;果糖:40;火龙果:50;翡翠茉莉绿茶:30;芝士奶盖:60;果茶昔:1,,
牛油火神果茶昔,果茶昔,酸奶版,22,杯,牛油果:0.5;热水:160;冰块:80;果糖:40;火龙果:50;翡翠茉莉绿茶:30;酸奶:60;果茶昔:1,,
火神芒芒果茶昔,果茶昔,芝士版,18,杯,芒果:100;翡翠茉莉绿茶:60;冰块:100;果糖:30;芒果原浆:10;火龙果:50;热水:80;芝士奶盖:80;果茶昔:1,,
火神芒芒果茶昔,果茶昔,酸奶版,20,杯,芒果:100;翡翠茉莉绿茶:60;冰块:100;果糖:30;芒果原浆:10;火龙果:50;热水:80;酸奶:80;果茶昔:1,,
白雪芒芒果茶昔,果茶昔,,20,杯,芒果:120;翡翠茉莉绿茶:35;冰块:200;果糖:30;芒果原浆:10;椰浆:60;雀巢全脂牛奶:25;西米:30;果茶昔:1,,
热情芒芒果茶昔,果茶昔,,19,杯,芒果:150;翡翠茉莉绿茶:45;冰块:150;果糖:22;芒果原浆:15;西米:30;果茶昔:1,,
牛油果木瓜果茶昔,果茶昔,,21,杯,牛油果:0.5;热水:80;冰块:160;果糖:50;木瓜:120;翡翠茉莉绿茶:30;果茶昔:1,,
少女莓莓果茶昔,果茶昔,,21,杯,冰块:170;果糖:35;台湾四季春:120;草莓:80;草莓茶酱:30;果茶昔:1,,
牛油芒芒果茶昔,果茶昔,芝士版,21,杯,牛油果:0.5;热水:160;冰块:80;果糖:40;芒果:50;翡翠茉莉绿茶:30;芝士奶盖:60;果茶昔:1,,
牛油芒芒果茶昔,果茶昔,酸奶版,22,杯,牛油果:0.5;热水:160;冰块:80;果糖:40;芒果:50;翡翠茉莉绿茶:30;酸奶:60;果茶昔:1,,
